,Year,Selling_Price,Kms_Driven,Fuel_Type,Transmission,Owner,Brand
3141,2012,271000.0,49000,Petrol,Manual,First Owner,Volkswagen
3143,2015,490000.0,31080,Petrol,Manual,First Owner,Hyundai
3144,2014,260000.0,37605,Petrol,Manual,First Owner,Hyundai
3145,2014,455000.0,55850,Diesel,Manual,First Owner,Hyundai
3146,2010,75000.0,58850,Petrol,Manual,First Owner,Tata
3147,2015,421000.0,23839,Petrol,Manual,First Owner,Toyota
3148,2016,550000.0,54000,Diesel,Manual,First Owner,Maruti
3149,2013,330000.0,38000,Petrol,Automatic,First Owner,Hyundai
3150,2012,390000.0,45454,Diesel,Manual,First Owner,Volkswagen
3151,2015,599000.0,46957,Diesel,Automatic,First Owner,Skoda
3152,2019,738000.0,8000,Petrol,Automatic,First Owner,Hyundai
3153,2016,300000.0,30000,Petrol,Manual,First Owner,Maruti
3154,2012,150000.0,110000,Diesel,Manual,First Owner,Tata
3156,2011,280000.0,110000,Diesel,Manual,First Owner,Volkswagen
3157,2006,100000.0,120000,Petrol,Manual,Second Owner,Hyundai
3158,2008,150000.0,100000,Petrol,Manual,Second Owner,Maruti
3159,2014,380000.0,100000,Diesel,Manual,Second Owner,Maruti
3160,2006,90000.0,60000,Petrol,Manual,Second Owner,Maruti
3162,2011,275000.0,60000,Diesel,Manual,Second Owner,Skoda
3163,2009,180000.0,41090,Petrol,Manual,First Owner,Maruti
3165,2014,200000.0,40000,Petrol,Manual,First Owner,Maruti
3166,2011,500000.0,40000,Petrol,Manual,Second Owner,Toyota
3167,2010,300000.0,70000,Petrol,Manual,Second Owner,Ford
3168,2015,765000.0,80000,Diesel,Manual,Second Owner,Hyundai
3169,2017,650000.0,90000,Diesel,Manual,First Owner,Maruti
3170,2017,380000.0,19000,Petrol,Manual,First Owner,Maruti
3171,2014,480000.0,110000,Diesel,Manual,Second Owner,Maruti
3172,1996,200000.0,60000,Diesel,Manual,First Owner,Mahindra
3173,2017,380000.0,19000,Petrol,Manual,First Owner,Maruti
3174,2010,145000.0,68000,others,Manual,Second Owner,Maruti
3175,2011,280000.0,120000,Diesel,Manual,Second Owner,Maruti
3176,2014,254999.0,30000,Diesel,Manual,First Owner,Maruti
3177,2016,300000.0,90000,Petrol,Manual,Second Owner,Tata
3178,2015,480000.0,140000,Diesel,Manual,Others,Maruti
3179,2017,850000.0,44500,Petrol,Automatic,First Owner,Skoda
3180,2014,350000.0,52000,Diesel,Manual,Second Owner,Hyundai
3181,2016,650000.0,26000,Petrol,Manual,First Owner,Hyundai
3182,2016,650000.0,26000,Petrol,Manual,First Owner,Hyundai
3183,2007,550000.0,80000,Petrol,Manual,Second Owner,Tata
3184,2015,300000.0,35000,Petrol,Manual,First Owner,Maruti
3185,2008,150000.0,60000,Petrol,Manual,Second Owner,Maruti
3186,2014,300000.0,120000,Petrol,Manual,First Owner,Hyundai
3187,2004,80000.0,58000,Petrol,Manual,First Owner,Hyundai
3188,2014,200000.0,100000,Diesel,Manual,First Owner,Tata
3189,2016,220000.0,43700,Petrol,Manual,First Owner,Hyundai
3190,2009,68000.0,120000,Petrol,Manual,Second Owner,Tata
3191,2011,180000.0,80000,Diesel,Manual,Others,Tata
3192,2017,290000.0,20000,Petrol,Manual,First Owner,Hyundai
3193,2018,300000.0,25000,Petrol,Manual,First Owner,Maruti
3194,2014,600000.0,27483,Diesel,Manual,First Owner,Honda
3195,2019,470000.0,8000,Petrol,Manual,First Owner,Maruti
3196,2008,150000.0,30000,Petrol,Manual,First Owner,Hyundai
3197,2017,400000.0,30000,Petrol,Manual,First Owner,Maruti
3198,2009,110000.0,100000,Diesel,Manual,Others,Ford
3199,2014,180000.0,56207,Petrol,Manual,Second Owner,Maruti
3200,2010,250000.0,40000,Petrol,Manual,First Owner,Hyundai
3201,2006,80000.0,70000,Petrol,Manual,First Owner,Maruti
3202,2018,875000.0,1440,Petrol,Manual,First Owner,Honda
3203,2015,425000.0,12000,Petrol,Manual,First Owner,Hyundai
3204,2019,300000.0,50000,Petrol,Manual,First Owner,Maruti
3205,2016,700000.0,35000,Diesel,Manual,First Owner,Honda
3206,2010,130000.0,50000,Petrol,Manual,Second Owner,Maruti
3207,2017,1000000.0,60000,Diesel,Manual,Second Owner,Maruti
3208,2017,650000.0,67000,Diesel,Manual,First Owner,Maruti
3209,2013,400000.0,100000,Petrol,Manual,Second Owner,Renault
3210,2017,800000.0,60000,Diesel,Manual,First Owner,Mahindra
3211,2017,675000.0,70000,Diesel,Manual,First Owner,Mahindra
3212,2017,210000.0,50000,Petrol,Manual,Others,Maruti
3213,2009,150000.0,120000,Diesel,Manual,Others,Tata
3214,2007,45000.0,100000,others,Manual,Others,Maruti
3215,2015,516000.0,90000,Petrol,Manual,First Owner,Hyundai
3216,2014,450000.0,80000,Petrol,Manual,First Owner,Hyundai
3217,2012,134000.0,90000,Petrol,Manual,Second Owner,Chevrolet
3218,2014,509999.0,157000,Diesel,Manual,Second Owner,Toyota
3219,2016,500000.0,20000,Petrol,Manual,First Owner,Volkswagen
3220,2008,130000.0,80000,Petrol,Manual,Others,Maruti
3221,2015,575000.0,60000,Diesel,Manual,First Owner,Maruti
3222,2015,550000.0,49000,Petrol,Manual,First Owner,Hyundai
3223,2009,145000.0,89255,Diesel,Manual,First Owner,Tata
3224,2020,347000.0,5000,Petrol,Manual,First Owner,Maruti
3225,2013,275000.0,110000,Diesel,Manual,First Owner,Tata
3227,2012,160000.0,90000,Diesel,Manual,Second Owner,Chevrolet
3228,2010,150000.0,63000,Diesel,Manual,Others,Others
3229,2015,550000.0,23000,Petrol,Manual,First Owner,Honda
3230,2013,349000.0,100000,Diesel,Manual,First Owner,Mahindra
3231,2004,229999.0,168000,Diesel,Manual,Others,Mahindra
3232,2008,110000.0,90000,Diesel,Manual,Others,Tata
3233,2008,110000.0,70000,Petrol,Manual,Others,Maruti
3234,2018,245000.0,5550,Petrol,Manual,Second Owner,Renault
3235,2014,180000.0,100000,Petrol,Manual,Second Owner,Maruti
3236,2014,290000.0,80000,Petrol,Manual,Second Owner,Maruti
3237,2010,250000.0,40000,Petrol,Manual,First Owner,Hyundai
3238,2010,150000.0,100000,Diesel,Manual,First Owner,Tata
3239,2004,55000.0,35000,Petrol,Manual,Others,Maruti
3240,2006,500000.0,75000,Diesel,Manual,Second Owner,Skoda
3241,2013,290000.0,150000,Diesel,Manual,Others,Mahindra
3242,2019,400000.0,16000,Petrol,Automatic,First Owner,Hyundai
3243,2009,72000.0,70000,Petrol,Manual,First Owner,Maruti
3244,2014,250000.0,115000,Diesel,Manual,First Owner,Maruti
3245,2019,575000.0,25000,Petrol,Automatic,First Owner,Maruti
3246,2019,1300000.0,10000,Diesel,Automatic,First Owner,Others
3247,2019,425000.0,15000,Petrol,Manual,First Owner,Hyundai
3248,2019,470000.0,10000,others,Manual,First Owner,Maruti
3249,2012,220000.0,80000,Petrol,Manual,Others,Toyota
3250,2020,310000.0,1700,Petrol,Manual,First Owner,Maruti
3251,2016,400000.0,45217,Diesel,Manual,First Owner,Ford
3252,2012,215000.0,97000,Diesel,Manual,First Owner,Volkswagen
3253,2018,310000.0,20000,Petrol,Manual,First Owner,Hyundai
3254,2017,750000.0,50000,Diesel,Manual,First Owner,Maruti
3255,2009,204999.0,120000,Diesel,Manual,Second Owner,Tata
3256,2010,260000.0,50000,Petrol,Manual,First Owner,Maruti
3257,2012,180000.0,40000,Petrol,Manual,Second Owner,Maruti
3258,2007,125000.0,110000,Diesel,Manual,Second Owner,Mahindra
3259,2014,420000.0,155000,Diesel,Manual,First Owner,Maruti
3260,2011,220000.0,70000,Petrol,Manual,Second Owner,Maruti
3261,2010,200000.0,70000,Petrol,Manual,Others,Maruti
3262,2009,130000.0,100000,Diesel,Manual,Others,Ford
3263,2016,335000.0,41000,Petrol,Manual,First Owner,Tata
3267,2011,434999.0,97000,Petrol,Automatic,Second Owner,Honda
3268,2014,500000.0,60000,Petrol,Manual,First Owner,Honda
3269,2017,290000.0,60000,Petrol,Manual,First Owner,Maruti
3270,2014,475000.0,48000,Petrol,Automatic,Second Owner,Ford
3272,2019,600000.0,80000,Petrol,Manual,First Owner,Hyundai
3273,2013,300000.0,70000,Diesel,Manual,Second Owner,Hyundai
3274,2012,415000.0,80000,Diesel,Manual,Second Owner,Volkswagen
3275,2018,800000.0,30000,Diesel,Automatic,Second Owner,Maruti
3276,2016,420000.0,44440,Petrol,Manual,Second Owner,Hyundai
3277,2018,1250000.0,30000,Diesel,Manual,First Owner,Hyundai
3278,2011,270000.0,120000,Diesel,Manual,First Owner,Maruti
3279,2015,390000.0,80000,Diesel,Manual,Second Owner,Hyundai
3280,2012,400000.0,110000,Diesel,Manual,First Owner,Skoda
3281,2007,100000.0,170000,Petrol,Manual,First Owner,Ford
3282,2010,850000.0,46000,Diesel,Automatic,First Owner,Audi
3283,2012,359000.0,120000,Diesel,Automatic,Others,Chevrolet
3284,2015,470000.0,91365,Diesel,Manual,First Owner,Maruti
3285,2013,360000.0,90010,Diesel,Manual,Second Owner,Maruti
3286,2013,250999.0,80000,Diesel,Manual,First Owner,Maruti
3287,2012,45000.0,35000,Petrol,Manual,Second Owner,Tata
3288,2006,75000.0,80000,Petrol,Manual,Second Owner,Maruti
3289,2013,495000.0,31800,Diesel,Manual,First Owner,Maruti
3290,2013,310000.0,59100,others,Manual,First Owner,Maruti
3291,2016,540000.0,31200,Petrol,Manual,First Owner,Honda
3292,2016,665000.0,51000,Diesel,Manual,First Owner,Maruti
3293,2013,425000.0,22700,Diesel,Manual,Second Owner,Hyundai
3294,2011,1295000.0,58000,Diesel,Automatic,First Owner,Audi
3295,2016,675000.0,50900,Diesel,Manual,First Owner,Maruti
3296,2018,980000.0,10000,Diesel,Manual,First Owner,Maruti
3297,2014,320000.0,60000,Diesel,Manual,First Owner,Chevrolet
3298,2011,250000.0,80000,Petrol,Manual,Second Owner,Maruti
3299,2016,600000.0,72000,Diesel,Manual,First Owner,Maruti
3300,2016,300000.0,96000,Petrol,Manual,First Owner,Hyundai
3301,2014,305000.0,66000,Diesel,Manual,First Owner,Chevrolet
3302,2012,270000.0,80000,Diesel,Manual,Second Owner,Tata
3303,2012,300000.0,90000,Diesel,Manual,First Owner,Renault
3304,2009,106000.0,70000,Petrol,Manual,First Owner,Maruti
3305,2006,90000.0,75000,Petrol,Manual,Others,Hyundai
3306,2019,539000.0,2417,Petrol,Manual,First Owner,Tata
3307,2009,110000.0,100000,Diesel,Manual,Others,Ford
3308,2016,250000.0,30000,Petrol,Manual,Second Owner,Hyundai
3309,2009,300000.0,50000,Petrol,Manual,First Owner,Hyundai
3310,2018,707000.0,60000,Diesel,Manual,First Owner,Mahindra
3311,2007,95000.0,120000,Petrol,Manual,Others,Hyundai
3312,2020,495000.0,7000,others,Manual,First Owner,Maruti
3313,2012,200000.0,35000,Diesel,Manual,First Owner,Tata
3314,2009,110000.0,110000,Petrol,Manual,Others,Maruti
3315,2008,100000.0,130000,Petrol,Manual,Others,Maruti
3316,2016,150000.0,25000,Petrol,Manual,Second Owner,Maruti
3317,2016,509999.0,35000,Petrol,Manual,First Owner,Toyota
3318,2005,50000.0,80000,Petrol,Manual,Others,Ford
3319,2007,85000.0,70000,Petrol,Manual,Second Owner,Chevrolet
3320,2018,475000.0,23000,Petrol,Manual,First Owner,Hyundai
3321,2014,425000.0,40000,Petrol,Manual,First Owner,Volkswagen
3322,2006,480000.0,110000,Petrol,Automatic,Second Owner,BMW
3323,2019,950000.0,10000,Diesel,Manual,First Owner,Maruti
3324,2015,535000.0,80000,Diesel,Manual,First Owner,Maruti
3325,2009,325000.0,25000,Diesel,Manual,Others,Hyundai
3326,2013,270000.0,74000,Petrol,Manual,Others,Maruti
3327,2015,300000.0,60000,Petrol,Manual,Others,Maruti
3328,2011,325000.0,70000,Diesel,Manual,First Owner,Volkswagen
3329,2010,350000.0,100000,Diesel,Manual,First Owner,Tata
3330,2008,229999.0,146000,Diesel,Manual,Others,Hyundai
3331,2012,325000.0,120000,Diesel,Manual,Second Owner,Maruti
3332,2005,70000.0,70000,Petrol,Manual,Second Owner,Maruti
3333,2008,190000.0,120000,Diesel,Manual,Others,Skoda
3334,2011,345000.0,65500,Diesel,Manual,First Owner,Chevrolet
3335,2016,1025000.0,70000,Diesel,Manual,First Owner,Mahindra
3336,2012,120000.0,50000,Petrol,Manual,First Owner,Maruti
3337,2009,114999.0,90000,Petrol,Manual,Second Owner,Maruti
3338,2009,300000.0,120000,Petrol,Manual,Second Owner,Honda
3339,2016,340000.0,56000,Petrol,Manual,First Owner,Maruti
3340,2005,90000.0,70000,Petrol,Manual,Second Owner,Maruti
3341,2006,150000.0,140300,Petrol,Manual,First Owner,Maruti
3342,2010,115999.0,70000,Petrol,Manual,First Owner,Maruti
3343,2017,425000.0,36000,Diesel,Manual,First Owner,Toyota
3344,2017,550000.0,12997,Diesel,Manual,First Owner,Honda
3345,2017,500000.0,40000,Petrol,Automatic,First Owner,Maruti
3346,2013,300000.0,25000,Diesel,Manual,Second Owner,Mahindra
3347,2018,1150000.0,26430,Diesel,Manual,First Owner,Hyundai
3348,2015,475000.0,24600,Petrol,Manual,First Owner,Maruti
3349,2011,260000.0,28481,Petrol,Manual,First Owner,Maruti
3350,2013,350000.0,100000,Petrol,Manual,First Owner,Ford
3351,2013,750000.0,41988,Diesel,Manual,First Owner,Mahindra
3352,2017,350000.0,7658,Petrol,Automatic,First Owner,Renault
3353,2009,180000.0,30375,Petrol,Manual,First Owner,Maruti
3354,2017,611000.0,34400,Diesel,Manual,First Owner,Maruti
3355,2017,325000.0,18500,Petrol,Manual,First Owner,Renault
3356,2012,225000.0,48000,Petrol,Manual,First Owner,Hyundai
3357,2014,300000.0,28942,Petrol,Automatic,First Owner,Maruti
3358,2017,400000.0,50000,Diesel,Manual,Second Owner,Mahindra
3359,2012,711000.0,53600,Diesel,Manual,First Owner,Mahindra
3360,2015,851000.0,53652,Diesel,Manual,First Owner,Toyota
3361,2016,375000.0,23000,Petrol,Manual,Second Owner,Maruti
3362,2007,275000.0,10211,Petrol,Manual,First Owner,Maruti
3363,2005,120000.0,120000,Diesel,Manual,Others,Mahindra
3364,2015,350000.0,120000,Diesel,Manual,First Owner,Maruti
3365,2017,409999.0,35000,Petrol,Manual,First Owner,Maruti
3366,2012,500000.0,130000,Diesel,Manual,First Owner,Hyundai
3367,2013,220000.0,90000,Diesel,Manual,Second Owner,Nissan
3368,2008,120000.0,80000,Petrol,Manual,Second Owner,Ford
3369,2007,70000.0,55000,Petrol,Manual,Second Owner,Hyundai
3370,2017,800000.0,15000,Petrol,Manual,First Owner,Maruti
3372,2012,525000.0,145000,Diesel,Manual,First Owner,Mahindra
3373,2016,300000.0,35000,Petrol,Manual,First Owner,Datsun
3374,2008,195000.0,56000,Petrol,Manual,Second Owner,Hyundai
3375,2007,130000.0,98000,Diesel,Manual,Second Owner,Ford
3376,2011,300000.0,135000,Diesel,Manual,Second Owner,Toyota
3377,2002,120000.0,60000,Petrol,Manual,Others,Maruti
3378,2010,450000.0,120000,Diesel,Manual,Others,Toyota
3379,2010,160000.0,102000,Diesel,Manual,Second Owner,Tata
3380,2018,800000.0,35000,Diesel,Manual,First Owner,Mahindra
3381,2013,100000.0,80000,Petrol,Manual,First Owner,Maruti
3382,2017,825000.0,13599,Petrol,Automatic,First Owner,Volkswagen
3383,2015,265000.0,32933,Petrol,Manual,First Owner,Maruti
3384,2008,175000.0,54551,Petrol,Manual,First Owner,Maruti
3385,2014,250999.0,57112,Petrol,Manual,First Owner,Maruti
3386,2015,471000.0,41025,Petrol,Automatic,First Owner,Hyundai
3387,2019,650000.0,5000,Diesel,Manual,First Owner,Maruti
3388,2019,650000.0,5000,Diesel,Manual,First Owner,Maruti
3389,2012,225000.0,53122,Petrol,Manual,Second Owner,Hyundai
3390,2013,245000.0,64111,others,Manual,First Owner,Maruti
3391,2011,221000.0,78892,Petrol,Manual,First Owner,Maruti
3392,2011,271000.0,74113,Petrol,Manual,First Owner,Hyundai
3393,2012,290000.0,80000,Petrol,Manual,First Owner,Maruti
3394,2017,525000.0,39000,Petrol,Manual,First Owner,Maruti
3395,2012,377000.0,84775,Petrol,Manual,First Owner,Volkswagen
3396,2012,95000.0,20778,Petrol,Manual,First Owner,Tata
3397,2015,763000.0,64441,Diesel,Manual,First Owner,Maruti
3398,2015,450000.0,43192,Petrol,Manual,First Owner,Honda
3399,2014,140000.0,44416,Petrol,Manual,First Owner,Tata
3400,2016,701000.0,79991,Diesel,Manual,First Owner,Maruti
3401,2011,277000.0,62601,Diesel,Manual,Second Owner,Nissan
3402,2018,520000.0,50000,Petrol,Automatic,First Owner,Maruti
3403,2017,550000.0,100000,Diesel,Manual,First Owner,Ford
3404,2011,260000.0,97000,Diesel,Manual,Others,Volkswagen
3405,2015,420000.0,100000,Diesel,Manual,First Owner,Renault
3406,2002,35000.0,100000,Petrol,Manual,Others,Others
3407,2018,1150000.0,20000,Diesel,Manual,First Owner,Mahindra
3408,2017,680000.0,46000,Petrol,Manual,First Owner,Maruti
3409,2012,425000.0,40000,Diesel,Manual,First Owner,Maruti
3410,2014,450000.0,70000,Diesel,Manual,Second Owner,Maruti
3411,2008,590000.0,89600,Diesel,Manual,Others,Toyota
3412,2017,936999.0,60800,Petrol,Manual,First Owner,Volkswagen
3413,2015,420000.0,104000,Diesel,Manual,Second Owner,Honda
3414,2014,450000.0,80000,Diesel,Manual,Second Owner,Volkswagen
3415,2004,40000.0,69111,Petrol,Manual,Others,Maruti
3416,2014,520000.0,70000,Diesel,Manual,Second Owner,Toyota
3417,2007,80000.0,120000,Petrol,Manual,First Owner,Maruti
3418,2014,55000.0,40000,Petrol,Manual,First Owner,Tata
3419,2001,80000.0,100000,Diesel,Manual,Others,Mahindra
3420,2019,210000.0,20000,Petrol,Manual,First Owner,Maruti
3421,2015,300000.0,50000,Petrol,Manual,Second Owner,Ford
3422,2017,260000.0,50000,Diesel,Manual,First Owner,Tata
3423,2016,250000.0,70000,Diesel,Manual,First Owner,Tata
3424,2008,80000.0,90000,Diesel,Manual,First Owner,Tata
3425,2010,450000.0,150000,Diesel,Manual,Second Owner,Toyota
3426,2005,310000.0,120000,Diesel,Manual,Second Owner,Toyota
3427,2012,500000.0,100000,Diesel,Manual,First Owner,Toyota
3428,2016,800000.0,70000,Diesel,Manual,Second Owner,Maruti
3429,2016,840000.0,70000,Diesel,Manual,Second Owner,Hyundai
3430,2016,490000.0,50000,Petrol,Manual,First Owner,Honda
3431,2010,125000.0,81000,Diesel,Manual,Second Owner,Tata
3432,2012,400000.0,120000,Diesel,Manual,Others,Chevrolet
3433,2015,1000000.0,3600,Diesel,Manual,First Owner,Chevrolet
3434,2015,530000.0,14272,Petrol,Manual,First Owner,Ford
3435,2017,840000.0,49213,Diesel,Manual,First Owner,Ford
3436,2015,229999.0,40000,Petrol,Manual,First Owner,Hyundai
3437,1998,40000.0,40000,Petrol,Manual,Others,Maruti
3438,2012,130000.0,80000,Petrol,Manual,First Owner,Chevrolet
3439,2015,200000.0,70000,Petrol,Manual,First Owner,Hyundai
3440,2011,120000.0,70000,Diesel,Manual,First Owner,Tata
3441,2003,75000.0,57000,Petrol,Manual,First Owner,Hyundai
3442,2016,250000.0,120000,Diesel,Manual,First Owner,Tata
3443,2005,100000.0,30000,Petrol,Manual,First Owner,Maruti
3444,2013,280000.0,3240,Petrol,Manual,Second Owner,Hyundai
3445,2015,540000.0,5000,Petrol,Manual,First Owner,Hyundai
3446,2018,700000.0,10000,Petrol,Manual,First Owner,Hyundai
3447,2014,350000.0,90000,Petrol,Manual,Second Owner,Ford
3448,2011,320000.0,100000,Diesel,Manual,First Owner,Maruti
3449,2016,475000.0,90000,Diesel,Manual,First Owner,Honda
3450,2011,220000.0,140000,Diesel,Manual,Second Owner,Tata
3451,2013,210000.0,13770,Diesel,Manual,First Owner,Nissan
3452,2005,61000.0,4637,Petrol,Manual,Second Owner,Ford
3453,2009,355000.0,100000,Diesel,Automatic,Second Owner,Skoda
3454,2012,150000.0,60000,Diesel,Manual,First Owner,Chevrolet
3455,2011,133000.0,80000,Diesel,Manual,First Owner,Tata
3456,2015,650000.0,50000,Diesel,Automatic,First Owner,Chevrolet
3457,2014,210000.0,40000,Petrol,Manual,Second Owner,Nissan
3458,2013,130000.0,93900,Diesel,Manual,Second Owner,Chevrolet
3459,2007,60000.0,70000,Petrol,Manual,First Owner,Maruti
3460,2005,120000.0,120000,Diesel,Manual,Others,Mahindra
3462,2005,100000.0,120000,Diesel,Manual,Second Owner,Hyundai
3463,2004,79000.0,80000,Petrol,Manual,First Owner,Maruti
3464,2012,120000.0,110000,Diesel,Manual,First Owner,Chevrolet
3465,2005,125000.0,34000,Petrol,Manual,First Owner,Maruti
3466,2013,425000.0,20000,Diesel,Manual,First Owner,Chevrolet
3467,2001,70000.0,117000,Petrol,Manual,Second Owner,Maruti
3468,2020,619000.0,1500,Petrol,Manual,First Owner,Maruti
3469,2017,415000.0,48965,Petrol,Manual,First Owner,Nissan
3470,2014,265000.0,55000,Petrol,Manual,First Owner,Hyundai
3471,2008,70000.0,60000,Petrol,Manual,First Owner,Tata
3472,2015,281000.0,40000,Diesel,Manual,First Owner,Chevrolet
3473,2013,211000.0,80000,Diesel,Manual,First Owner,Tata
3474,2018,550000.0,11000,Petrol,Manual,First Owner,Hyundai
3475,2014,350000.0,110000,Diesel,Manual,First Owner,Chevrolet
3476,2017,420000.0,19890,Petrol,Automatic,First Owner,Maruti
3477,2015,270000.0,20969,Petrol,Manual,First Owner,Renault
3478,2016,399000.0,20194,Petrol,Manual,First Owner,Maruti
3479,2016,440000.0,34982,Petrol,Manual,First Owner,Ford
3480,2012,250000.0,44588,Petrol,Manual,First Owner,Hyundai
3481,2016,650000.0,57904,Diesel,Manual,First Owner,Ford
3482,2015,270000.0,59258,Petrol,Manual,First Owner,Maruti
3483,2016,390000.0,60826,Petrol,Manual,First Owner,Ford
3485,2014,225000.0,35000,Petrol,Manual,First Owner,Maruti
3486,2015,900000.0,110000,Diesel,Manual,Second Owner,Mahindra
3488,2019,800000.0,10000,Petrol,Manual,First Owner,Tata
3489,2013,320000.0,50000,Diesel,Manual,First Owner,Honda
3490,2016,300000.0,25000,Petrol,Manual,First Owner,Maruti
3491,2018,740000.0,25000,Petrol,Manual,First Owner,Hyundai
3492,2019,350000.0,1300,Petrol,Manual,First Owner,Datsun
3493,2014,280000.0,40000,Petrol,Manual,First Owner,Datsun
3494,2018,675000.0,50000,Diesel,Automatic,First Owner,Maruti
3495,2011,300000.0,20000,Petrol,Manual,First Owner,Hyundai
3496,2011,400000.0,76000,Diesel,Manual,Others,Chevrolet
3497,2010,420000.0,100000,Diesel,Manual,Others,Mahindra
3498,2008,300000.0,120000,Diesel,Manual,First Owner,Tata
3499,2010,170000.0,70000,Petrol,Manual,First Owner,Maruti
3500,2014,210000.0,70000,Petrol,Manual,Others,Hyundai
3501,2015,600000.0,60000,Diesel,Manual,Second Owner,Maruti
3502,2014,260000.0,38000,Petrol,Manual,Second Owner,Maruti
3503,2015,82000.0,19000,Petrol,Manual,First Owner,Tata
3504,2016,690000.0,75000,Diesel,Manual,First Owner,Mahindra
3505,2015,300000.0,70000,Diesel,Manual,First Owner,Hyundai
3506,2017,1250000.0,30000,Diesel,Manual,First Owner,Honda
3507,2017,799000.0,31707,Diesel,Manual,First Owner,Hyundai
3509,2014,190000.0,90000,Petrol,Manual,Second Owner,Maruti
3510,2014,250000.0,30000,Diesel,Manual,First Owner,Mahindra
3511,2009,200000.0,60000,Petrol,Manual,First Owner,Hyundai
3512,2005,300000.0,90000,Diesel,Manual,Second Owner,Mahindra
3513,2015,250000.0,120000,Petrol,Manual,Second Owner,Tata
3514,2008,90000.0,70000,Petrol,Manual,Others,Maruti
3515,2001,68000.0,70000,Petrol,Manual,First Owner,Hyundai
3516,2017,500000.0,26500,Petrol,Manual,First Owner,Hyundai
3517,2017,900000.0,50000,Diesel,Manual,First Owner,Hyundai
3518,2007,100000.0,52000,Petrol,Manual,Second Owner,Maruti
3519,2016,700000.0,160000,Diesel,Manual,First Owner,Renault
3521,2017,290000.0,110000,Petrol,Manual,Second Owner,Maruti
3522,2014,1050000.0,97000,Diesel,Manual,Second Owner,Toyota
3523,2008,70000.0,100000,Diesel,Manual,Others,Tata
3524,2016,520000.0,41000,Diesel,Manual,First Owner,Maruti
3525,2012,150000.0,90000,Diesel,Manual,First Owner,Tata
3526,2008,120000.0,90000,Petrol,Manual,First Owner,Hyundai
3527,2016,600000.0,25000,Petrol,Manual,First Owner,Hyundai
3528,2010,150000.0,70000,Diesel,Manual,Second Owner,Tata
3529,2011,400000.0,60000,Petrol,Manual,First Owner,Volkswagen
3530,2015,310000.0,30000,Petrol,Manual,Second Owner,Maruti
3531,2015,550000.0,30000,Petrol,Manual,First Owner,Maruti
3532,2016,550000.0,60000,Diesel,Manual,First Owner,Hyundai
3533,2013,320000.0,73000,Diesel,Manual,First Owner,Hyundai
3534,1992,50000.0,100000,Petrol,Manual,Others,Maruti
3535,2018,500000.0,32000,Petrol,Manual,First Owner,Hyundai
3536,2018,360000.0,26500,Petrol,Manual,First Owner,Renault
3537,2017,700000.0,50000,Diesel,Manual,Second Owner,Maruti
3538,2012,700000.0,110000,Diesel,Manual,Second Owner,Maruti
3539,2017,655000.0,84000,Diesel,Manual,First Owner,Hyundai
3540,2017,700000.0,50000,Diesel,Manual,Second Owner,Maruti
3541,2011,200000.0,110000,others,Manual,First Owner,Chevrolet
3542,2012,375000.0,150000,Diesel,Manual,First Owner,Renault
3543,2012,470000.0,109052,Diesel,Manual,First Owner,Hyundai
3544,2015,550000.0,90658,Diesel,Manual,First Owner,Maruti
3545,2014,500000.0,110000,Diesel,Manual,Second Owner,Honda
3546,2015,210000.0,25000,Petrol,Manual,First Owner,Datsun
3547,2018,270000.0,20000,Petrol,Manual,First Owner,Maruti
3548,2010,300000.0,80000,Petrol,Manual,First Owner,Skoda
3549,2007,80000.0,60000,Petrol,Manual,Others,Maruti
3551,2018,1085000.0,15000,Diesel,Manual,First Owner,Tata
3552,2009,245000.0,75000,Diesel,Automatic,First Owner,Hyundai
3553,2017,700000.0,25552,Petrol,Manual,Second Owner,Honda
3554,2018,300000.0,20000,Petrol,Manual,First Owner,Hyundai
3555,2017,350000.0,80000,Diesel,Manual,First Owner,Hyundai
3556,2017,635000.0,25000,Petrol,Automatic,First Owner,Hyundai
3557,2012,325000.0,40700,Petrol,Manual,First Owner,Honda
3558,2017,1150000.0,65500,Diesel,Automatic,First Owner,Mahindra
3559,2008,110000.0,42000,Petrol,Manual,First Owner,Tata
3560,2018,890000.0,8000,Petrol,Manual,First Owner,Honda
3561,2007,73000.0,80000,Petrol,Manual,Second Owner,Maruti
3562,2014,170000.0,77000,Petrol,Manual,First Owner,Chevrolet
3563,2016,750000.0,6000,Petrol,Manual,First Owner,Maruti
3564,2017,280000.0,28838,Petrol,Manual,First Owner,Hyundai
3565,2018,690000.0,11174,Petrol,Manual,First Owner,Maruti
3566,2008,130000.0,120000,Petrol,Manual,First Owner,Tata
3567,2007,73000.0,80000,Petrol,Manual,Second Owner,Maruti
3568,2007,85000.0,85000,Petrol,Manual,Second Owner,Hyundai
3570,2013,325000.0,105000,Diesel,Manual,First Owner,Nissan
3571,1998,85000.0,120000,Petrol,Manual,Second Owner,Honda
3572,2018,860000.0,30000,Diesel,Manual,Second Owner,Hyundai
3573,2017,690000.0,41000,Diesel,Manual,First Owner,Maruti
3574,2013,650000.0,54000,Diesel,Manual,First Owner,Hyundai
3575,2014,375000.0,40000,Diesel,Manual,First Owner,Chevrolet
3576,2013,525000.0,71000,Diesel,Manual,First Owner,Hyundai
